USER_ID,TEST_AGE,CERT_GROUP,TEST_SEX,ITEM_F001,ITEM_F002,ITEM_F018,AGE_GROUP,BMI_GROUP,G_ID,Recommend_pre_ex,Recommend_main_ex,Recommend_finish_ex,Additional_pre_ex,Additional_main_ex,Additional_finish_ex
0,25,하,M,167.3,46.98,16.8,20대,저체중,74,전신 루틴 스트레칭, 누워서 다리 들어올리기,전신 루틴 스트레칭, 유산소 운동 전 동적 루틴 스트레칭," 앉았다 일어서기,  엎드려서 팔 다리 들기,  윗몸올리기 ,  누워서 엉덩이 들어올리기"," 계단 올라갔다 내려오기,  한발 앞으로 내밀고 앉았다 일어서기,  뒤꿈치 들기,  앉았다 일어서기"
1,19,하,M,179.0,84.0,26.2,10대,1단계비만,56,유산소 운동 전 동적 루틴 스트레칭, 걷기,전신 루틴 스트레칭,없음," 달리기,  앉아서 위로 밀기,  앉아서 다리 굽히기,  자전거타기"," 서서 상체 일으키기,  팔굽혀펴기,  달리기,  몸통 들어올리기"
2,19,하,M,171.5,95.6,32.5,10대,2단계비만,62,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 엎드려 버티기,  수영,  계단 올라갔다 내려오기,  줄넘기"," 계단 올라갔다 내려오기,  줄넘기,  엎드려 버티기,  스텝퍼 뛰어서 오르내리기"
3,20,하,F,158.4,43.84,17.5,20대,저체중,77,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 사다리 안팎 뛰기,  걷기,  계단 뛰기,  앉았다 일어서기"," 사다리 안팎 뛰기,  앉았다 일어서기,  계단 뛰기,  걷기"
4,53,하,M,173.4,73.4,24.4,50대,비만전단계,194,유산소 운동 전 동적 루틴 스트레칭, 앉아서 다리 펴기,전신 루틴 스트레칭,없음," 엎드려 버티기, 윗몸올리기 ,  서서 상체 일으키기,  뒤로 팔굽혀펴기"," 앉아서 위로 밀기,  한발 앞으로 내밀고 앉았다 일어서기, 윗몸올리기 ,  앉아서 다리 밀기"
5,24,하,M,171.9,58.2,19.7,20대,정상체중,80,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 엎드려 버티기,  스텝퍼 옆으로 뛰어넘기,  계단 올라갔다 내려오기,  걷기"," 계단 올라갔다 내려오기,  걷기,  엎드려 버티기,  계단 뛰기"
6,58,하,M,168.8,72.9,25.6,50대,1단계비만,200,유산소 운동 전 동적 루틴 스트레칭, 서서 상체 일으키기,전신 루틴 스트레칭,없음," 계단 뛰기, 앉았다 일어서기,  걷기,  자전거타기","달리기,  팔꿈치 굽히기,  앉아서 다리 밀기, 윗몸올리기 "
7,56,하,F,155.8,50.36,20.7,50대,정상체중,191,유산소 운동 전 동적 루틴 스트레칭, 누워서 엉덩이 들어올리기,전신 루틴 스트레칭,없음," 팔굽혀펴기,  앉아서 밀기,  걷기,  바벨들어올리기"," 한발 앞으로 내밀고 앉았다 일어서기,  뒤로 팔굽혀펴기,  앉아서 당겨 내리기, 앉았다 일어서기"
8,21,하,M,183.4,79.76,23.7,20대,비만전단계,86,걷기,달리기,전신 루틴 스트레칭,없음," 버피운동,  계단 올라갔다 내려오기,  걷기,  무릎 높여 제자리 달리기"," 걷기,  계단 올라갔다 내려오기,  버피운동,  줄넘기"
9,20,하,F,159.4,66.64,26.2,20대,1단계비만,95,유산소 운동 전 동적 루틴 스트레칭, 앉아서 다리 펴기,전신 루틴 스트레칭,없음,"윗몸올리기 ,  줄넘기,  한발 앞으로 내밀고 앉았다 일어서기,  앉아서 모으기"," 자전거타기,  줄넘기,  앉아서 다리 굽히기,  수영"
10,20,하,M,189.1,90.0,25.2,20대,1단계비만,92,걷기,달리기,전신 루틴 스트레칭,없음," 줄넘기,  계단 뛰기,  걷기,  무릎 높여 제자리 달리기"," 무릎 높여 제자리 달리기,  줄넘기,  걷기,  계단 올라갔다 내려오기"
